"Probe Set ID","Species Scientific Name","Transcript ID(Array Design)","Representative Public ID","Gene Symbol"
"1775982_at","Saccharomyces cerevisiae","YHR045W","YHR045W.S1","---"
"1775984_at","Saccharomyces cerevisiae","YOR317W","YOR317W.S1","FAA1"
"1775985_x_at","Schizosaccharomyces pombe","SPCC1223.05c","SPCC1223.05c.S1","---"
"1775986_at","Saccharomyces cerevisiae","YPL268W","YPL268W.S1","PLC1"
"1775987_at","Schizosaccharomyces pombe","SPAC23H4.07c","SPAC23H4.07c.S1","---"
"1775988_at","Saccharomyces cerevisiae","YLR254C","YLR254C.S1","NDL1"
"1775989_at","Saccharomyces cerevisiae","YDR139C","YDR139C.S1","RUB1"
"1775990_at","Saccharomyces cerevisiae","YPL087W","YPL087W.S1","YDC1"
"1775991_s_at","Saccharomyces cerevisiae","YCL073C","YCL073C.S1","---"
"1775992_at","Saccharomyces cerevisiae","YBL098W","YBL098W.S1","BNA4"
"1775993_at","Schizosaccharomyces pombe","SPBC3E7.16c","SPBC3E7.16c.S1","---"
"1775994_at","Schizosaccharomyces pombe","SPAC18B11.07c","SPAC18B11.07c.S1","---"
"1775996_at","Saccharomyces cerevisiae","YGL146C","YGL146C.S1","---"
"1775997_at","Schizosaccharomyces pombe","SPCC191.04c","SPCC191.04c.S1","---"
"1775998_at","Schizosaccharomyces pombe","SPAC18B11.10","SPAC18B11.10.S1","---"
"1775999_at","Saccharomyces cerevisiae","YHR083W","YHR083W.S1","SAM35"
"1776000_at","Schizosaccharomyces pombe","SPBC1773.07c","SPBC1773.07c.S1","---"
"1776001_at","Schizosaccharomyces pombe","SPAC18G6.11c","SPAC18G6.11c.S1","---"
"1776002_s_at","Saccharomyces cerevisiae","YLR156W","YLR156W.S1","---"
"1776003_at","Saccharomyces cerevisiae","YOR254C","YOR254C.S1","SEC63"
"1776004_at","Saccharomyces cerevisiae","YPR019W","YPR019W.S1","MCM4"
"1776005_at","Schizosaccharomyces pombe","SPAC27D7.03c","SPAC27D7.03c.S1","---"
"1776006_at","Saccharomyces cerevisiae","YGL188C-A","YGL188C-A.S1","---"
"1776007_at","Schizosaccharomyces pombe","SPBC2D10.11c","SPBC2D10.11c.S1","---"
"1776008_at","Schizosaccharomyces pombe","SPAC4G9.02","SPAC4G9.02.S1","---"
"1776009_at","Saccharomyces cerevisiae","YOR361C","YOR361C.S1","PRT1"
"1776010_at","Saccharomyces cerevisiae","YJL190C","YJL190C.S1","RPS22A"
"1776011_at","Schizosaccharomyces pombe","SPCC1840.03","SPCC1840.03.S1","---"
"1776012_at","Schizosaccharomyces pombe","SPAC29E6.09","SPAC29E6.09.S1","---"
"1776013_at","Saccharomyces cerevisiae","YKR014C","YKR014C.S1","YPT52"
"1776014_at","Saccharomyces cerevisiae","YDR087C","YDR087C.S1","RRP1"
"1776015_at","Saccharomyces cerevisiae","YER110C","YER110C.S1","KAP123"
"1776016_at","Saccharomyces cerevisiae","YBR225W","YBR225W.S1","---"
"1776017_at","Saccharomyces cerevisiae","YDR392W","YDR392W.S1","SPT3"
"1776018_at","Schizosaccharomyces pombe","SPAC1952.14c","SPAC1952.14c.S1","---"
"1776019_at","Saccharomyces cerevisiae","YCR024C","YCR024C.S1","SLM5"
"1776020_at","Saccharomyces cerevisiae","YDR051C","YDR051C.S1","---"
"1776021_at","Saccharomyces cerevisiae","YOL012C","YOL012C.S1","HTZ1"
"1776022_at","Saccharomyces cerevisiae","YOR136W","YOR136W.S1","IDH2"
"1776023_at","Saccharomyces cerevisiae","YHR042W","YHR042W.S1","NCP1"
"1776024_at","Schizosaccharomyces pombe","SPBC21D10.11c","SPBC21D10.11c.S1","---"
"1776025_at","Saccharomyces cerevisiae","YBR189W","YBR189W.S1","RPS9B"
"1776026_at","Schizosaccharomyces pombe","SPBC119.03","SPBC119.03.S1","---"
"1776027_at","Saccharomyces cerevisiae","YPL160W","YPL160W.S1","CDC60"
"1776029_at","Saccharomyces cerevisiae","YCR044C","YCR044C.S1","PER1"
"1776030_at","Saccharomyces cerevisiae","YHR150W","YHR150W.S1","PEX28"
"1776031_at","Schizosaccharomyces pombe","SPAC1565.08","SPAC1565.08.S1","---"
"1776032_at","Schizosaccharomyces pombe","SPAC4G9.16c","SPAC4G9.16c.S1","---"
"1776033_at","Saccharomyces cerevisiae","YHR100C","YHR100C.S1","---"
"1776034_at","Saccharomyces cerevisiae","YGR038W","YGR038W.S1","ORM1"
"1776035_at","Schizosaccharomyces pombe","SPBC21C3.05","SPBC21C3.05.S1","---"
"1776036_at","Saccharomyces cerevisiae","YMR070W","YMR070W.S1","MOT3"
"1776037_at","Schizosaccharomyces pombe","SPAC27E2.09","SPAC27E2.09.S1","---"
"1776038_at","Schizosaccharomyces pombe","SPBP8B7.05c","SPBP8B7.05c.S1","---"
"1776039_at","Schizosaccharomyces pombe","SPAC22G7.01c","SPAC22G7.01c.S1","---"
"1776040_at","Schizosaccharomyces pombe","SPCC550.05","SPCC550.05.S1","---"
"1776041_at","Saccharomyces cerevisiae","YGL180W","YGL180W.S1","ATG1"
"1776042_at","Schizosaccharomyces pombe","SPCC1442.02","SPCC1442.02.S1","---"
"1776043_at","Saccharomyces cerevisiae","YGL113W","YGL113W.S1","SLD3"
"1776044_at","Saccharomyces cerevisiae","YGL158W","YGL158W.S1","RCK1"
"1776045_at","Saccharomyces cerevisiae","YCR033W","YCR033W.S1","SNT1"
"1776046_at","Saccharomyces cerevisiae","YBR001C","YBR001C.S1","NTH2"
"1776047_at","Schizosaccharomyces pombe","SPBC19C2.13c","SPBC19C2.13c.S1","---"
"1776048_at","Schizosaccharomyces pombe","SPAC4D7.03","SPAC4D7.03.S1","---"
"1776049_at","Saccharomyces cerevisiae","YNL302C","YNL302C.S1","RPS19B"
